Date,IBM,BRK-B,KO,AXP,JPM,WFC,STT,BK,CI,WMT,COST,TRV,PNC,GS,MCO,DE,ECL,MSFT,DD,PG,BLK,HD,BA,VRTX,A,DIS,INTC,JNJ,FDX,TGT
5/23/2000,5978900,405000,7210000,3483300,5208700,7234200,2004400,2407600,2666700,4291000,8692300,919900,729800,1203900,1163800,5675600,519800,57963200,1485500,5295400,63200,6293100,2851600,861400,5214600,4224400,50385800,5611000,545900,6188400
5/24/2000,8184200,665000,10788000,4939300,8573100,14351200,2568600,2057000,2984100,10341500,40016500,1314600,757500,1530200,1389200,2965600,373600,85482400,1463800,8813600,33100,17769300,4642600,1069000,7957200,4405800,75482200,8214400,692800,6969800
5/25/2000,5967600,400000,7731800,4409100,7721400,7388800,3830400,1762000,2003400,4619200,33098200,1094300,691400,4030100,802200,2782400,557000,94348800,2483800,6617400,12500,8621100,3027300,751400,7678000,3919000,50488800,4528000,968200,3100800
5/26/2000,4296900,255000,12380200,1971000,6163900,5937800,1838000,1050500,1178100,3996400,15012800,669200,649300,2378100,579600,4164400,348200,55822000,2571700,4463400,64800,4711400,2102100,480000,4956300,3368100,30851000,3095200,1146600,2756600
5/30/2000,3617500,400000,7451200,1958000,4197700,6055000,1866400,1256100,1545600,4352700,28791800,626700,726800,2205300,1051200,2494200,458200,68536400,2094700,4370000,89000,4767600,2325300,1168600,5338800,7346700,41768000,4214400,1081200,3962000
5/31/2000,3732500,290000,5541000,5440000,4983100,7610600,1642600,2054900,1638000,7658900,16909700,860200,1124100,1363800,1308600,4146800,419200,54968200,1886800,4208800,68300,6583700,2198600,1254800,4408300,5180900,54089600,4391200,1135000,7036000
6/1/2000,5712500,585000,5993800,4736400,8779600,13134000,2385400,2289600,2561700,4786400,15637200,1107800,1932100,1684900,2012800,2928800,994800,94507200,1335800,7701000,38200,6049000,2322800,1306200,3948200,3898500,45978400,5231800,1443700,4825200
6/2/2000,5473300,970000,6324800,5285200,8867400,8794200,2424400,2922700,2250600,7088100,12979600,572100,2178300,3567900,2205200,2313800,586200,80463200,1993900,10462600,62400,8388800,3449500,3292800,17086300,5836800,42657400,9351400,1130800,5114400
6/5/2000,7281400,450000,4837400,3301400,4890400,8318000,2965400,1496000,1951800,4360400,6547400,1033800,1689900,1576600,1871600,1296800,492400,64400000,1346400,7586600,145400,3858000,2478000,829600,10643100,4218900,39176000,5316600,1006900,1846200
6/6/2000,5369400,230000,6609200,4159300,5546800,5388200,1599400,1247100,2046600,4440100,12969000,930900,1352200,1033200,1274200,2855400,500400,99019000,1487900,4348200,61200,6753000,2945300,962800,12180700,3841900,47425200,3196600,769500,9065800
